id_intervento,tipo,nome,fase,fase_orig,data_stato,data_attivazione,data_fine
Velox:5e091519f7,velox,VLX-02031_32,realizzato,realizzato,placeholder,,
Velox:2dad77d14c,velox,VLX-02041,realizzato,realizzato,placeholder,,
Velox:826e7bebb0,velox,VLX-02003,pianificato,approvato,placeholder,,
Velox:f37400807d,velox,VLX-02004,pianificato,approvato,placeholder,,
Velox:112e38d828,velox,VLX-02005,pianificato,approvato,placeholder,,
Velox:43b46659d3,velox,VLX-02006,pianificato,approvato,placeholder,,
Velox:da3df48816,velox,VLX-02007,pianificato,approvato,placeholder,,
Velox:069533a778,velox,VLX-02008,pianificato,approvato,placeholder,,
Velox:e95c52b43a,velox,VLX-06002 bis,pianificato,aggiunto,placeholder,,
Velox:37203f466d,velox,VLX-04003 bis,pianificato,approvato,placeholder,,
Velox:1d8c516980,velox,VLX-04003,pianificato,approvato,placeholder,,
Velox:5b67483b26,velox,VLX-04008 bis,pianificato,approvato,placeholder,,
Velox:da441549ce,velox,VLX-04008,pianificato,approvato,placeholder,,
Velox:10c85e196e,velox,9ter,pianificato,aggiunto,placeholder,,
Velox:8c3e49d457,velox,9bis,pianificato,aggiunto,placeholder,,
Velox:85ccd6307d,velox,C2,da_definire,,placeholder,,
Velox:2c4c1a3221,velox,C1,da_definire,,placeholder,,
Velox:6cd6fe94fb,velox,C4,da_definire,,placeholder,,
Velox:b96f2c1522,velox,C3,da_definire,,placeholder,,
Velox:3357289230,velox,C6,da_definire,,placeholder,,
Velox:581cd57e71,velox,C5,da_definire,,placeholder,,
Velox:82f999aa61,velox,10,pianificato,aggiunto,placeholder,,
Velox:d1de4f9297,velox,VLX-02008 bis,pianificato,approvato,placeholder,,
Velox:3ae26f9a6c,velox,9,pianificato,approvato,placeholder,,
Velox:67ca08022f,velox,10bis,pianificato,aggiunto,placeholder,,
Velox:5a93370131,velox,VLX-03002 bis,pianificato,approvato,placeholder,,
Velox:82e25b0b92,velox,VLX-03002,pianificato,approvato,placeholder,,
Velox:524e2b46a6,velox,VLX-03003 bis,pianificato,approvato,placeholder,,
Velox:7b2188c6bb,velox,VLX-03003,pianificato,approvato,placeholder,,
Velox:65419ad27b,velox,VLX-04001 bis,pianificato,approvato,placeholder,,
Velox:74fc564992,velox,VLX-04001,pianificato,approvato,placeholder,,
Velox:144f4a6d4b,velox,15quater,pianificato,aggiunto,placeholder,,
Velox:d794a5c2c7,velox,15ter,pianificato,aggiunto,placeholder,,
Velox:470dd34aea,velox,C8,da_definire,,placeholder,,
Velox:c804051cf8,velox,C7,da_definire,,placeholder,,
Velox:83d6d2706e,velox,C10,da_definire,,placeholder,,
Velox:86fcf45f64,velox,C9,da_definire,,placeholder,,
Velox:34dc00884e,velox,C12,da_definire,,placeholder,,
Velox:2d8f54c383,velox,C11,da_definire,,placeholder,,
Velox:3ba6230bfe,velox,VLX-03001 bis,pianificato,aggiunto,placeholder,,
Velox:d45afbe2e2,velox,VLX-03001,pianificato,aggiunto,placeholder,,
Velox:6b6f57ff51,velox,VLX-05004 bis,pianificato,approvato,placeholder,,
Velox:ab32bc4137,velox,VLX-05004,pianificato,approvato,placeholder,,
Velox:08ce3125b1,velox,VLX-05005,pianificato,approvato,placeholder,,
Velox:bf855d649c,velox,VLX-05006,pianificato,approvato,placeholder,,
Velox:fa91f56d9a,velox,VLX-06003 bis,pianificato,approvato,placeholder,,
Velox:cd3c4ccee8,velox,VLX-06003,pianificato,approvato,placeholder,,
Velox:d01063f7a5,velox,VLX-06604 bis,pianificato,approvato,placeholder,,
Velox:f44a0a99cc,velox,VLX-06004,pianificato,approvato,placeholder,,
Velox:ee7054df46,velox,VLX-04002 bis,pianificato,approvato,placeholder,,
Velox:8f5046db1f,velox,VLX-04002,pianificato,approvato,placeholder,,
Velox:90f2f7075b,velox,VLX-05001 bis,pianificato,approvato,placeholder,,
