tipo_sito,fascia_priorita,n_siti,n_incidenti_tot,ICP_mediana,ICP_max,excess_EPDO_tot,costo_sociale_tot_eur
segmento,monitoraggio,13902,1351,1.5735370890203382,2.274393426093797,-75.57222467166326,-684836.0667327122
segmento,bassa,13476,2460,3.184150796531316,3.6390294817500752,-34.54302471698813,-331008.6057323747
segmento,media,12321,2850,4.548786852187594,5.30691799421886,47.37917846247867,437406.7578273474
segmento,alta,13815,4595,6.8231802782813915,9.097573704375188,117.14475115537972,1338130.89287793
segmento,altissima,12629,38498,18.09237874688921,70.88715974323254,9471.642519370314,152679569.62521636
intersezione,monitoraggio,1339,1086,15.082284434652813,16.1283750055386,-1303.3875488081876,-14241084.993980322
intersezione,bassa,1338,1137,17.279073095961724,18.967321243495945,-679.6028613299,-8578207.555695456
intersezione,media,1339,3324,21.65692309005616,25.673326759377616,-477.6723676672959,-8942222.363058656
intersezione,alta,1338,7307,30.42941330191703,36.54954476553355,620.5919040493601,4275926.844579797
intersezione,altissima,1339,12240,41.9011842099534,69.29841545782597,7884.235168974281,126492057.03221238
